Customer ID,Age,Gender,Loyalty Member,Product Type,SKU,Rating,Order Status,Payment Method,Purchase Date,Purchase Day,Purchase Month,Purchase Year,Shipping Type,Unit Price,Quantity,Add-ons Purchased,Add-on Total,Total Price
1000,53,Male,No,Smartphone,SKU1004,2,Cancelled,Credit Card,20/03/2024,20,3,2024,Standard, $791.19 ,7,"Accessory,Accessory,Accessory", $40.21 ," $5,578.54 "
1000,53,Male,No,Tablet,SKU1002,3,Completed,Paypal,20/04/2024,20,4,2024,Overnight, $247.03 ,3,Impulse Item, $26.09 , $767.18 
1002,41,Male,No,Laptop,SKU1005,3,Completed,Credit Card,17/10/2023,17,10,2023,Express, $463.96 ,4,No Add-On Added, $-   ," $1,855.84 "
1002,41,Male,Yes,Smartphone,SKU1004,2,Completed,Cash,09/08/2024,9,8,2024,Overnight, $791.19 ,4,"Impulse Item,Impulse Item", $60.16 ," $3,224.92 "
1003,75,Male,Yes,Smartphone,SKU1001,5,Completed,Cash,21/05/2024,21,5,2024,Express, $20.75 ,2,Accessory, $35.56 , $77.06 
1004,41,Female,No,Smartphone,SKU1001,5,Completed,Credit Card,26/05/2024,26,5,2024,Standard, $20.75 ,4,"Impulse Item,Accessory", $65.78 , $148.78 
1005,25,Female,No,Smartwatch,SKU1003,3,Completed,Paypal,30/01/2024,30,1,2024,Overnight, $844.83 ,9,No Add-On Added, $-   ," $7,603.47 "
1005,25,Female,No,Laptop,SKU1005,3,Completed,Debit Card,24/06/2024,24,6,2024,Overnight, $463.96 ,9,"Extended Warranty,Extended Warranty", $75.33 ," $4,250.97 "
1006,24,Male,No,Smartphone,SKU1004,2,Cancelled,Debit Card,03/10/2023,3,10,2023,Standard, $791.19 ,7,Impulse Item, $43.05 ," $5,581.38 "
1006,24,Male,Yes,Laptop,SKU1005,3,Completed,Cash,01/01/2024,1,1,2024,Express, $463.96 ,9,No Add-On Added, $-   ," $4,175.64 "
1006,24,Male,Yes,Tablet,SKU1002,3,Completed,Paypal,25/06/2024,25,6,2024,Overnight, $247.03 ,10,"Impulse Item,Accessory,Impulse Item", $90.38 ," $2,560.68 "
1007,35,Male,No,Smartphone,SKU1004,2,Cancelled,Credit Card,07/11/2023,7,11,2023,Overnight, $791.19 ,9,"Accessory,Extended Warranty", $55.48 ," $7,176.19 "
1008,66,Female,No,Smartwatch,SKU1003,3,Completed,Cash,25/09/2023,25,9,2023,Express, $844.83 ,4,"Extended Warranty,Impulse Item,Extended Warranty", $65.85 ," $3,445.17 "
1011,72,Male,No,Smartphone,SKU1004,2,Completed,Credit Card,07/07/2024,7,7,2024,Standard, $791.19 ,10,"Accessory,Accessory,Accessory", $70.17 ," $7,982.07 "
1013,42,Female,No,Smartphone,SKU1004,2,Cancelled,Paypal,18/03/2024,18,3,2024,Overnight, $791.19 ,7,"Accessory,Impulse Item,Accessory", $57.81 ," $5,596.14 "
1014,73,Female,No,Smartwatch,SKU1003,3,Cancelled,Credit Card,02/01/2024,2,1,2024,Standard, $844.83 ,6,"Extended Warranty,Extended Warranty", $69.31 ," $5,138.29 "
1014,73,Female,Yes,Smartphone,SKU1004,2,Completed,Cash,18/05/2024,18,5,2024,Standard, $791.19 ,6,Accessory, $8.30 ," $4,755.44 "
1015,22,Male,No,Smartphone,SKU1001,5,Completed,Paypal,02/09/2024,2,9,2024,Standard, $20.75 ,4,"Accessory,Accessory,Accessory", $80.00 , $163.00 
1016,61,Male,Yes,Smartphone,SKU1001,5,Completed,Paypal,07/07/2024,7,7,2024,Overnight, $20.75 ,5,No Add-On Added, $-   , $103.75 
